Neighborhood,Latitude,Longitude
CollgCr,42.034534,-93.620369
Veenker,42.0413,-93.6503
Crawfor,42.0186,-93.6489
NoRidge,42.0308,-93.6319
Somerst,42.057428,-93.657413
NWAmes,42.037428,-93.664011
OldTown,42.029,-93.6143
BrkSide,42.0287,-93.6304
Sawyer,42.0339,-93.6771
NridgHt,42.034534,-93.620369
NAmes,42.056551,-93.628434
SawyerW,42.0339,-93.6771
IDOTRR,42.00643,-93.581452
MeadowV,42.034534,-93.620369
Edwards,41.992798,-93.601766
Timber,42.042456,-93.602571
Gilbert,42.0308,-93.6319
StoneBr,42.049175,-93.579315
ClearCr,42.050148,-93.657615
NPkVill,41.985161,-93.626492
Blmngtn,41.994171,-93.652701
BrDale,42.032143,-93.555727
SWISU,41.996849,-93.655977
Blueste,42.0231,-93.6638
Mitchel,42.0431,-93.5738
